date,revenue,type,subtype
2013-05-01,0,Commuter Revenue,NA
2013-06-01,11716080.69,Net Toll Revenue,NA
2013-06-01,-174143.58,Volume Discount,Business
2013-06-01,-536545.9600000001,Volume Discount,Personal
2013-06-01,0,Commuter Revenue,NA
2013-07-01,14023438.360000001,Net Toll Revenue,NA
2013-07-01,-189184.84999999998,Volume Discount,Business
2013-07-01,-554723.1699999999,Volume Discount,Personal
2013-07-01,0,Commuter Revenue,NA
2013-08-01,14749617.98,Net Toll Revenue,NA
2013-08-01,-192134.25,Volume Discount,Business
2013-08-01,-579877.4600000001,Volume Discount,Personal
2013-08-01,0,Commuter Revenue,NA
2013-09-01,11482405.139999999,Net Toll Revenue,NA
2013-09-01,-140954.21000000002,Volume Discount,Business
2013-09-01,-541876.3,Volume Discount,Personal
2013-09-01,0,Commuter Revenue,NA
2013-10-01,11393946.02,Net Toll Revenue,NA
2013-10-01,-241214.05,Volume Discount,Business
2013-10-01,-630293.97,Volume Discount,Personal
2013-10-01,0,Commuter Revenue,NA
2013-11-01,9856699.77,Net Toll Revenue,NA
2013-11-01,-165423.24000000002,Volume Discount,Business
2013-11-01,-512321.49000000005,Volume Discount,Personal
2013-11-01,0,Commuter Revenue,NA
2013-12-01,9400709.39,Net Toll Revenue,NA
2013-12-01,-179271.86,Volume Discount,Business
2013-12-01,-505630.27,Volume Discount,Personal
2013-12-01,0,Commuter Revenue,NA
2014-01-01,8852479.91,Net Toll Revenue,NA
2014-01-01,-179357.31,Volume Discount,Business
2014-01-01,-548152.1799999999,Volume Discount,Personal
2014-02-01,8183582.51,Net Toll Revenue,NA
2014-02-01,-152130.04,Volume Discount,Business
2014-02-01,-436149.93000000005,Volume Discount,Personal
2014-03-01,9574877.42,Net Toll Revenue,NA
2014-03-01,-169135.46,Volume Discount,Business
2014-03-01,-592993.15,Volume Discount,Personal
2014-04-01,10127954.75,Net Toll Revenue,NA
2014-04-01,-191296.61000000002,Volume Discount,Business
2014-04-01,-593959.26,Volume Discount,Personal
2014-05-01,11349739.860000001,Net Toll Revenue,NA
2014-05-01,-186204.41999999998,Volume Discount,Business
2014-05-01,-617909.3400000001,Volume Discount,Personal
2014-06-01,12112891.3,Net Toll Revenue,NA
2014-06-01,-187032.25,Volume Discount,Business
2014-06-01,-596492.62,Volume Discount,Personal
2014-07-01,14221446.07,Net Toll Revenue,NA
2014-07-01,-195676.09,Volume Discount,Business
2014-07-01,-607296.48,Volume Discount,Personal
2014-08-01,14966505.56,Net Toll Revenue,NA
2014-08-01,-180264.02,Volume Discount,Business
2014-08-01,-596676.89,Volume Discount,Personal
2014-09-01,11871753,Net Toll Revenue,NA
2014-09-01,-195122.77000000002,Volume Discount,Business
2014-09-01,-616763.63,Volume Discount,Personal
2014-10-01,11730669.06,Net Toll Revenue,NA
2014-10-01,-198342.08,Volume Discount,Business
2014-10-01,-683702.52,Volume Discount,Personal
2014-11-01,9845007.850000001,Net Toll Revenue,NA
2014-11-01,-151367.96,Volume Discount,Business
2014-11-01,-523470.64999999997,Volume Discount,Personal
2014-12-01,9947267.41,Net Toll Revenue,NA
2014-12-01,-179459.61000000002,Volume Discount,Business
2014-12-01,-602246.05,Volume Discount,Personal
2015-01-01,8657251.75,Net Toll Revenue,NA
2015-01-01,-156722.07,Volume Discount,Business
2015-01-01,-516720.86,Volume Discount,Personal
2015-02-01,8078822.67,Net Toll Revenue,NA
2015-02-01,-157380.43,Volume Discount,Business
2015-02-01,-469148.27,Volume Discount,Personal
2015-03-01,10056826.219999999,Net Toll Revenue,NA
2015-03-01,-182010.44,Volume Discount,Business
2015-03-01,-689778.51,Volume Discount,Personal
2015-04-01,10530016.81,Net Toll Revenue,NA
2015-04-01,-187845.44999999998,Volume Discount,Business
2015-04-01,-664900.3,Volume Discount,Personal
2015-05-01,11943905.33,Net Toll Revenue,NA
2015-05-01,-179525.94999999998,Volume Discount,Business
2015-05-01,-674612.9,Volume Discount,Personal
2015-06-01,12637293.66,Net Toll Revenue,NA
2015-06-01,-191820.19,Volume Discount,Business
2015-06-01,-697644.73,Volume Discount,Personal
2015-07-01,14960104.67,Net Toll Revenue,NA
2015-07-01,-200372.66,Volume Discount,Business
2015-07-01,-686696.76,Volume Discount,Personal
2015-08-01,15137699.239999998,Net Toll Revenue,NA
2015-08-01,-186411.77000000002,Volume Discount,Business
2015-08-01,-661611.58,Volume Discount,Personal
2015-09-01,12687323,Net Toll Revenue,NA
2015-09-01,-180782.34,Volume Discount,Business
2015-09-01,-674930.52,Volume Discount,Personal
2015-10-01,12304135.77,Net Toll Revenue,NA
2015-10-01,-200059.34999999998,Volume Discount,Business
2015-10-01,-740163.69,Volume Discount,Personal
2015-11-01,10630809.41,Net Toll Revenue,NA
2015-11-01,-169461.19,Volume Discount,Business
2015-11-01,-620559.01,Volume Discount,Personal
2015-12-01,10531086.88,Net Toll Revenue,NA
2015-12-01,-186219.07,Volume Discount,Business
2015-12-01,-682940.1,Volume Discount,Personal
2016-01-01,9470025.860000001,Net Toll Revenue,NA
2016-01-01,-165535.58,Volume Discount,Business
2016-01-01,-625314.66,Volume Discount,Personal
2016-02-01,9417799.96,Net Toll Revenue,NA
2016-02-01,-160158.25,Volume Discount,Business
2016-02-01,-622908.16,Volume Discount,Personal
2016-03-01,10662964.370000001,Net Toll Revenue,NA
2016-03-01,-196258.88999999998,Volume Discount,Business
2016-03-01,-757062.2699999999,Volume Discount,Personal
2016-04-01,10871783.92,Net Toll Revenue,NA
2016-04-01,-181900.08,Volume Discount,Business
2016-04-01,-689631.57,Volume Discount,Personal
2016-05-01,12283540.31,Net Toll Revenue,NA
2016-05-01,-194701.94,Volume Discount,Business
2016-05-01,-740795.2899999999,Volume Discount,Personal
2016-06-01,13321033.26,Net Toll Revenue,NA
2016-06-01,-208670.46,Volume Discount,Business
2016-06-01,-764248.88,Volume Discount,Personal
2016-07-01,15272205.53,Net Toll Revenue,NA
2016-07-01,-182944.36,Volume Discount,Business
2016-07-01,-682664.51,Volume Discount,Personal
2016-08-01,15821383.41,Net Toll Revenue,NA
