date,transactions,vehicle
2012-10-01,4775458,Passenger
2012-10-01,630989,Commercial
2012-10-01,789229,Commuter
2012-10-01,23018,Non Revenue
2012-11-01,4917807,Passenger
2012-11-01,576350,Commercial
2012-11-01,8,Commuter
2012-11-01,23198,Non Revenue
2012-12-01,4619599,Passenger
2012-12-01,517660,Commercial
2012-12-01,0,Commuter
2012-12-01,33393,Non Revenue
2013-01-01,4406740,Passenger
2013-01-01,558896,Commercial
2013-01-01,26636,Non Revenue
2013-02-01,3874150,Passenger
2013-02-01,489283,Commercial
2013-02-01,32403,Non Revenue
2013-03-01,4786257,Passenger
2013-03-01,545527,Commercial
2013-03-01,27686,Non Revenue
2013-04-01,4863363,Passenger
2013-04-01,595885,Commercial
2013-04-01,21993,Non Revenue
2013-05-01,5593020,Passenger
2013-05-01,653807,Commercial
2013-05-01,21965,Non Revenue
2013-06-01,5921449,Passenger
2013-06-01,610296,Commercial
2013-06-01,20664,Non Revenue
2013-07-01,7204801,Passenger
2013-07-01,657577,Commercial
2013-07-01,21450,Non Revenue
2013-08-01,7645310,Passenger
2013-08-01,666618,Commercial
2013-08-01,21821,Non Revenue
2013-09-01,5848856,Passenger
2013-09-01,606083,Commercial
2013-09-01,20285,Non Revenue
2013-10-01,5758046,Passenger
2013-10-01,641472,Commercial
2013-10-01,22541,Non Revenue
2013-11-01,4989215,Passenger
2013-11-01,549997,Commercial
2013-11-01,20348,Non Revenue
2013-12-01,4754350,Passenger
2013-12-01,552744,Commercial
2013-12-01,34700,Non Revenue
2014-01-01,4412072,Passenger
2014-01-01,557820,Commercial
2014-01-01,31094,Non Revenue
2014-02-01,4123770,Passenger
2014-02-01,491181,Commercial
2014-02-01,33193,Non Revenue
2014-03-01,4859409,Passenger
2014-03-01,557454,Commercial
2014-03-01,26695,Non Revenue
2014-04-01,5070144,Passenger
2014-04-01,597413,Commercial
2014-04-01,23227,Non Revenue
2014-05-01,5742544,Passenger
2014-05-01,639521,Commercial
2014-05-01,22862,Non Revenue
2014-06-01,6208177,Passenger
2014-06-01,645827,Commercial
2014-06-01,23454,Non Revenue
2014-07-01,7410050,Passenger
2014-07-01,671484,Commercial
2014-07-01,22934,Non Revenue
2014-08-01,7856303,Passenger
2014-08-01,657348,Commercial
2014-08-01,21752,Non Revenue
2014-09-01,6109243,Passenger
2014-09-01,639747,Commercial
2014-09-01,22689,Non Revenue
2014-10-01,6038161,Passenger
2014-10-01,647073,Commercial
2014-10-01,22570,Non Revenue
2014-11-01,5067604,Passenger
2014-11-01,540187,Commercial
2014-11-01,22896,Non Revenue
2014-12-01,5158687,Passenger
2014-12-01,569025,Commercial
2014-12-01,26626,Non Revenue
2015-01-01,4406963,Passenger
2015-01-01,524252,Commercial
